Document,Word,Score
1,1,0.0071692095596667125
1,13,0.009909420575560646
1,15000,0.012084448420889708
1,16,0.012084448420889708
1,18,0.0071692095596667125
1,1x,0.012084448420889708
1,20,0.005364278705700215
1,22,0.012084448420889708
1,26,0.012084448420889708
1,8,0.012084448420889708
1,999,0.008366213760295851
1,9mm,0.009909420575560646
1,abduct,0.009909420575560646
1,abl,0.021507628679000138
1,absenc,0.05945652345336388
1,absolut,0.037147115489800736
1,accept,0.02972826172668194
1,access,0.008366213760295851
1,accomplish,0.012084448420889708
1,account,0.008366213760295851
1,act,0.006191185914966789
1,action,0.019818841151121293
1,actual,0.018573557744900368
1,address,0.008366213760295851
1,admir,0.019818841151121293
1,adrian,0.012084448420889708
1,affect,0.024168896841779416
1,afraid,0.005364278705700215
1,afternoon,0.012084448420889708
1,age,0.009909420575560646
1,ago,0.024764743659867156
1,ah,0.030955929574833944
1,ahead,0.0071692095596667125
1,ahhh,0.019818841151121293
1,alibi,0.016732427520591703
1,alic,0.10728557411400431
1,aliv,0.012382371829933578
1,alon,0.02682139352850108
1,alreadi,0.016092836117100648
1,also,0.008366213760295851
1,alway,0.043015257358000276
1,andal,0.024168896841779416
1,angl,0.024168896841779416
1,angri,0.016732427520591703
1,anoth,0.006191185914966789
1,answer,0.006191185914966789
1,anyon,0.014338419119333425
1,anyth,0.04291422964560172
1,apart,0.016732427520591703
1,apologis,0.009909420575560646
1,appar,0.0071692095596667125
1,architect,0.012084448420889708
1,arent,0.012382371829933578
1,around,0.012382371829933578
1,arrest,0.005364278705700215
1,arriba,0.024168896841779416
1,arriv,0.008366213760295851
1,articl,0.009909420575560646
1,asid,0.012084448420889708
1,ask,0.032185672234201296
1,assault,0.014338419119333425
1,assess,0.012084448420889708
1,astrophys,0.012084448420889708
1,attempt,0.0071692095596667125
1,atyp,0.009909420575560646
1,authoris,0.009909420575560646
1,away,0.03754995093990151
1,babe,0.016732427520591703
1,back,0.08046418058550324
1,bad,0.006191185914966789
1,ballist,0.009909420575560646
1,barrel,0.012084448420889708
1,beat,0.014338419119333425
1,bed,0.008366213760295851
1,bedroom,0.012084448420889708
1,beguil,0.012084448420889708
1,behind,0.0071692095596667125
1,believ,0.016092836117100648
1,best,0.005364278705700215
1,bet,0.008366213760295851
1,better,0.014338419119333425
1,beyond,0.009909420575560646
1,big,0.01072855741140043
1,birthday,0.009909420575560646
1,bit,0.01072855741140043
1,bitch,0.009909420575560646
1,bite,0.012084448420889708
1,black,0.008366213760295851
1,bleak,0.012084448420889708
1,bloodi,0.009909420575560646
1,blow,0.024168896841779416
1,board,0.012084448420889708
1,bodi,0.0071692095596667125
1,book,0.008366213760295851
1,boom,0.019818841151121293
1,bore,0.06936594402892451
1,boss,0.01072855741140043
1,bother,0.0071692095596667125
1,bought,0.009909420575560646
1,boy,0.0071692095596667125
1,boyfriend,0.0071692095596667125
1,brain,0.016732427520591703
1,bread,0.012084448420889708
1,breakfast,0.012084448420889708
1,bright,0.008366213760295851
1,brillianc,0.024168896841779416
1,brilliant,0.019818841151121293
1,bring,0.02145711482280086
1,broke,0.012084448420889708
1,build,0.006191185914966789
1,bullet,0.024168896841779416
1,burden,0.012084448420889708
1,burglari,0.024168896841779416
1,burn,0.04183106880147926
1,burnt,0.009909420575560646
1,buy,0.006191185914966789
1,call,0.04827850835130194
1,caller,0.009909420575560646
1,calm,0.008366213760295851
1,came,0.024764743659867156
1,campus,0.012084448420889708
1,cant,0.0697356231741028
1,carbon,0.012084448420889708
1,card,0.008366213760295851
1,care,0.01072855741140043
1,careless,0.009909420575560646
